location_id,location_name,latitude,longitude
l207," NW Atlantic, Trawl survey 13",43.6,-52.22
l208," NW Atlantic, Trawl survey 14",43.33,-51.779
l209," NW Atlantic, Trawl survey 15",43.31,-51.728
l210," NW Atlantic, Trawl survey 16",47.39,-46.383
l212,"Golden Garden, Washington",47.6902,-122.4087
l213,"Alki South, Washington",47.5694,-122.4197
l214,"Titanic wreck, SE Newfoundland",41.7333,-49.95
l215,"Northern Gulf of Mexico, MC294",28.6722,-88.4765
l216,"Northern Gulf of Mexico, MC297",28.6825,-88.345
l217,"Northern Gulf of Mexico, MC344",28.6337,-88.1698
l221,"Bremer Point, Magnetic island",-19.15,146.8667
l222,Maryland,38.22,-74.93
l224,"Gulf of Mexico, site A",30.0667,-88.2167
l225,"Gulf of Mexico, site B",30,-87.95
l226,"Ilha da Cotinga, Brazil",-25.5208,-48.4772
l230,"Cross Harbour, Fished population, Little Bahama",25.95,-77.35
l231,"Halibut Channel, Grand Banks south of Newfoundland",44.6373,-55.5643
l232,"Haddock Channel, Grand Banks south of Newfoundland",44.6328,-54.4776
l233,"Desbarres Canyon, Grand Banks south of Newfoundland",43.8958,-52.942
l234,"Baja Casju, Scandola, Corsica",42.3496,8.5585
l235,"Palazzu, Scandola, Corsica",42.3802,8.5495
l236,Punta Muchilina,42.3322,8.5535
l237,"Cave b, Scandola, Corsica",42.3597,8.5575
l238,"Tres Fares, Cap de Creus, Spain",42.3393,3.3019
l239,"Figuier Exterior, Marseille, France",43.2051,5.4469
l240,"Pedres Barra Mesina, Cap de Creus, Spain",42.2937,3.3142
l241,"Moyade exterior, Marseill, France",43.177,5.3721
l242,"Moyade interior, Marseille, France",43.1772,5.3723
l243,"Montgri, Catalonia, Spain",42.0989,3.2142
l244,"Begur, Catalonia, Spain",41.9581,3.2346
l245,"Ille Plane Exterior, Marseille, France",43.1865,5.3915
l246,"Ille Plane Interior, Marseille, France",43.1866,5.3912
l247,"Figuier interior, Marseille, France",43.2052,5.4469
l248,Massa d'oros,42.3155,3.3337
l249,"Isuela Sud, Portofino, Italy",44.3814,9.3194
l250,"Cala Oro East, Portofino, Italy",44.4972,9.1806
l251,"Torreta, Portofino, Italy",44.5094,9.1822
l252,"Dragone, Portofino, Italy",44.4936,9.3181
l253,"Targa Gonzatti, Portofino, Italy",44.44,9.3836
l254,"Diamante, Portofino, Italy",44.4353,9.2144
l255,"Altare, Portofino, Italy",44.3917,9.4067
l256,"Punta Vessinaro, Portofino, Italy",44.3703,9.4336
l257,"Casa del Sindaco, Portofino, Italy",44.3494,9.2497
l258,"St. Giorgio, Portofino, Italy",44.3103,9.3853
l259,"St. Giorgio East, Portofino, Italy",44.3972,9.2181
l260,"Faro Cape, Portofino, Italy",44.5461,9.255
l261,"Terumbu Pempang Tengah, Sigapore",1.2277,103.7315
l262,"Villefranche sur-Mer, France",43.681,7.3381
l263,"Ogasawara islands, Japan",27.0857,142.2129
l264,"Double cone island, GBR",-20.1079,148.7092
510,Central Great Barrier Reef,-18.9135,176.4448
2,Great Barrier Reef,-17.8324,146.8213
l265,"Dungenesse Reef, Australia",50.9151,0.966
l266,Northern Great Barrier Reef,-14.7975,146.8213
l267,"Long island, Central GBR",-20.3655,148.855
l268,"Rattray island, Central GBR",-19.9948,148.5561
245,Philippines,12.1474,122.9721
l269,South Africa,-34.5145,19.7869
l270,"Isla Danzante, Mexico",25.7846,-111.2534
l271,"Cabo San Lucas, Mexico",22.8805,-109.966
l272,"Acapulco, Mexico",16.7891,-99.8363
l273,"Mexico, Eastern Pacific",16.78,-99.11
l274,"Isla Tortuga, Mexico",27.4378,-111.8963
l275,"Isla Coronado, Piedra blanca, Mexico",32.4169,-117.2603
l276,"USA, Eastern Pacific",36.1444,-122.5021
l277,"Isla Salispuedes, Mexico",28.7284,-112.9574
l278,"Cancun, Mexico",21.1653,-86.8081
l279,"Xcaret, Mexico",20.5789,-87.1181
l280,"Manazuru Marine Biological laboratory, Japan",35.1493,139.148
330,Puerto Rico,18.20848,-66.549683
l281,"YO-257 artificial reef, Hawaii",21.2607,-157.8375
l282,"Shark cove, Oahu, Hawaii",21.6519,-158.0629
l283,"Kahe point, Oahu",21.353886,-158.1311
l284,"Honolulu Harbor, Hawaii",21.2993,-157.8958
l285,"Hawaii Kai, Oahu, Hawaii",21.2851,157.7187
177,"Pioneer Bay, Orpheus Island ",-18.6108,146.4881
414,Pandora Reef,-18.8133,146.4326
3,"Geoffrey Bay, Magnetic Island",-19.156,146.865
l286,"Cova de la Vaca, Medes Islands, Spain",42.05,3.25
l287,"Isle of Man, Irish Sea",54.2174,-4.5513
l288,"Adak island, Alaska",51.7542,-176.6787
l289,"Botanical Beach, Washington",48.5166,-124.45
l290,"Catalina island, California",33.36946,-118.42088
l291,"Turn island, Washington",48.5333,-122.9667
l292,"Aleutian Islands, Alaska",54.4275,-164.6557
l293,"Tatoosh Island, Washington, USA",48.4,-124.7333
l294,"Gulf of Naples, Italy",40.7798,14.3378
l295,"East Point, Nahant, Massachusetts",42.4167,-70.9
l296,Newfoundland and Labrador and the Arctic,59.5102,-53.9319
l297,Labrador Sea and the Arctic,59.5103,-53.9318
l298,"Newfoundland and Labrador, Canada",53.8633,-57.6666
l299,"Station M, NE Atlantic Ocean",57.3,10.1833
l300,"Gully MPA and Flemish Cap area, NW Atlantic",47.269,-43.5224
43,"Eilat, Israel",29.5497,34.9562
411,Gulf of Thailand,9.288,104.236
201,"Okinawa, Japan",26.399403,127.832707
l302,"Hurghada, Egypt, Red Sea",27.2869,33.6119
l303,"Nanwan Bay, Taiwan",22.1806,120.9253
l304,"St. Lucia Marine Reserve, KwaZuluNatal, South Africa",-27.415,32.7267
114,Guam,13.50385,144.723552
l305,"Sidney Harbor, Australia",-33.8333,151.25
l306,"Munseom, Jeju island, Korea",33.3667,126.55
l307,"Passamaquoddy, Bay of Fundy",45.0667,-66.9
l308,"Toquilineq, Greenland",60.075,-43.045
l309,"Sinai peninsula, Red Sea",27.9247,34.1373
l310,"Garambi, Formosa, Taiwan",21.8994,120.8416
l311,"Sibusi, Japan",31.4891,131.14
l312,"Tomioka, Amakusa Island, Japan",32.5284,130.0268
l313,"Korror Island, Palaos",7.3429,134.4979
l314,"Sodwana Bay, KwaZulu-Natal, South Africa",-28.415,32.7267
351,Caribbean,15.45368,-74.750977
l315,"Banco del Medio, Argentina",-38.1667,-57.4667
l316,"Costa Brava, Girona, Spain",41.8549,3.1778
l317,"Tiboulen du Frioul, Marseille, France",43.2711,5.2842
l318,"Oil jetties, Eilat, Israel",29.5313,34.942
l319,"Harbour of Hadera, Israel",32.4704,34.8633
l320,"Cayo Sombrero in Morrocoy, Venezuela",10.8667,-68.2687
l321,"Biscayne National Park, Florida",25.35,-80.1667
l322,"Gurnet rock, Bermuda, Caribbean",32.3386,-64.2628
l323,"Tasco Gran, Medes islands, Spain",43.0417,3.225
l324,"Carall Bernat, Medes islands, Spain",43.0417,3.2251
l325,"Cabo de Palos, Spain",37.6336,0.6844
l326,"Bache Shoal, Florida Keys",25.4849,-80.149
l327,"korbiski reef, San Blas Islands, Panama",9.55,-78.8667
l328,"Parque Municipal Marinho do Recife de Fora (PMMRF), Brazil ",-16.4028,-38.9811
l329,"Southeast bank areas, Gulf of Mexico",30.0014,-87.9508
222,Bahamas,25.533672,-77.384523
l330,"Kapp Norvegia, Weddell Sea",-71.12,-11.473333
l331,"Chitou Bay, Taiwan Strait",28.6333,119.5667
l332,"Zuma beach, Santa Barbara, California",34.0211,-118.8344
l333,Southern California coast,33.1702,-117.5565
l334,"Beufort, North Caroline",34.7109,-76.659
l335,"Porcupine Seabight, SW Ireland",49.923,-13.616
l336,Brazil coast,-17.0069,-38.3136
l337,"Lismore Island, Loch Linnhe, Scotland",56.5338,5.4543
l338,"Gulf of Maine, Northeast Channel ",41.9763,-65.6389
l339,"Shiraho Reef, Ishigaki Island, Japan",24.3542,124.2461
l340,"Tracy Arm, Holkham Bay, Southeast Alaska",57.8102,-133.5999
l341,"White thunder ridge, Glacier Bay National Park and Preserve (GBNPP), Alaska",59.0379,-136.1842
l342,"Endicott Arm, Alaska",57.7265,-133.2318
l343,"Fairweather ground, Alaska",57.2882,-138.3239
l344,"Shutter ridge, Alaska",56.0848,-134.5605
l345,"Dixon Entrance, Alaska",54.3918,-132.0226
l346,"Chafarinas islands, Morocco",35.1786,-2.4317
l347,"Porto de Galinhas beach, Pernambuco State, Brazil",-8.5056,-33.50094
l348,"Potter Cove, King George island, Antarctic",-62.2333,-58.63333
l349,"Caldeira de Troia, Portugal",38.4857,-8.8908
l350,"Eastern Canada, NW Atlantic",62.3065,-60.87
l351,"La Spezia, Ligurian Sea ",44.0491,9.8777
61,Bermuda,32.3482,-64.6791
l352,Northwest Persian Gulf ,29.9,49.2833
178,Lizard Island,-14.6689,145.4594
l353,"Azores archipielago, Atlantic",38.4853,-28.4015
l354,"Comau and Reñihué fjords, Chilean Patagonia",-42.2558,-72.7051
l355,"Menorca channel, Mediterranean Sea",39.9154,3.6874
l356,Northern Marmara Sea,41.0097,28.1474
l357,"Ryukyu Archipielago, Okinawa, Japan",28.2841,129.379
115,"Amami, Japan",28.2349,129.5367
600,"Kochi, Otsuki",32.766667,132.733333
l358,"Tiantupo reef, San Blas islands, Panama",9.5507,-78.8824
l359,"Bolinao-Anda Reef Complex (BARC), Philippines",16.378,119.9113
l360,Southwest of the Grand Banks (Canada),43.8545,-57.394
50,Florida keys,24.776438,-80.717769
l361,South Pacific area,-27.6589,-126.1
l362,"Washington coast, Eastern Pacific",47.2063,-124.4436
l363,"Cape Ashizuri, Kochi, Japan",32.5,132.8333
l364,"Kenting National Park, Nanwan, Taiwan",21.9477,120.7796
l366,"Capo Mannu, Sardinia, Mediterranean Sea",40.0361,8.3809
l367,"South Haulover Bay, St. John, US Virgin Islands",18.3485,-54.6755
l368,"Elefante Island, Las Perlas Archipielago, Panama",8.4068,-78.8027
l369,"Round bay, St. John, Virgin islands",18.345,64.681
l370,"Kusu Island, Singapore",1.2247,103.8612
l371,"Lazarus island, Singapore",1.2178,103.8587
l372,"Punta s´Oliguera, Cap de Creus, Spain",42.2842,3.3097
l373,"Interuniversity Institute for Marine Sciences in Eilat (IUI), Gulf of Aqaba",29.5,34.9167
l374,"Conero Promontory, North Adriatic Sea",43.5811,13.5722
l375,"Cap Couronne,  Côte Bleue, France",43.3251,5.0521
l376,"Lavéra, Côte Bleue, France",43.381,4.9988
l377,"La Bocana Chica, Quintana Roo, Mexico",20.8667,-86.8333
l378,"Bay of Houwan, Taiwan",21.9333,120.9333
l379,"Puerto Morelos, Mexico",20.8681,-86.8663
l380,"Belize, Caribbean Sea",16.7753,-88.3291
241,Panama,9.123115,-79.539569
226,US Virgin islands,18.404696,-64.905616
l381,"Menorca island, Spain, Mediterranean Sea",39.9497,4.1
l382,"Giens, France, Mediterranean Sea",42.0324,6.1425
l383,"Mejean, France, Mediterranean Sea",43.3315,5.2143
l384,"Caponga beach, Fortaleza, Brazil",-4.0333,-38.1833
l386,"Iriomote island, Japan",24.327,123.8373
l387,"Hilo bay, Hawaii",19.7355,-155.076
343,"Barren Island, Australia",-23.1581,151.0762
l388,"Hin Wong Bay, Koh Tao, Gulf of Thailand",10.1017,99.8509
l389,"Ama Beach, Zamami Island, Okinawa, Japan",26.2261,127.2925
l390,"Boca del Drago, Panama",9.4226,-82.3266
l391,"Crawl Cay Channel, Panama",9.2602,-82.1091
l392,"South Carenaro Island, Panama",9.3434,-82.7097
122,Fiji,-17.713371,178.065032
56,Lee Stocking Island,23.76725556,-76.09464167
l393,"Riding Rock, Bahamas",24.06667,-74.54167
l394,"Pickles reef, Florida keys",24.984371,-80.413577
l395,"Pillar reef, Bahamas",24.06668,-74.54168
l396,"Hog Cay, Bahamas",23.61667,-75.35
l397,"Cat island, Bahamas",24.15,-75.53333
l398,"Sweetings Cay, Bahamas",26.56667,-77.8
l399,"Rum Cay, Bahamas",23.61667,-74.86667
l400,"Little San Salvador, Bahamas",24.58333,-75.96667
l401,"Gorda rock, Bahamas",26.11667,-77.55
l402,"Palomino, Colombia, Caribbean",11.256119,-73.559057
l403,"Tayrona, Colombia, Caribbean",11.256203,-73.558799
l404,"Coralline Archipelagos, Colombia, Caribbean",9.811255,-75.897934
l405,"La Guajira, Colombia, Caribbean",12.479099,-71.620635
l406,Southern Colombian Caribbean,3.247652,-77.629123
l407,"Magdalena, Colombia, Caribbean",11.280852,-74.196131
l408,"Saco dos Cardeiros, Arraial do Cabo, Rio de Janeiro coast, Brazil",-23.73333,-42.03
l409,"Twin banks, Papahanaumokuakea 
Marine National Monument, Hawaii",23.05008,163.1539
l410,"Van Phong Bay, Den Island, Vietnam, South China Sea",12.6,109.3167
l411,"Maxfield Bank, Vietnam, South China Sea",16.11667,114.7833
l412,"Van Phong Bay, Cua Be Strait, Vietnam, South China Sea",12.56667,109.4167
l413,"Van Phong Bay, Lon island, Vietnam, South China Sea",12.61667,109.3
l414,"Van Phong Bay, Tai Island, Vietnam, South China Sea",12.55,109.4
l415,"New South Wales Coast, Australia",-34.101502,151.078185
l416,"Pongibalu, Andaman and Nicobar Archipielago, Indian Ocean",11.51717,92.65265
l417,"South Button island, Andaman island, Indian Ocean",12.2233,92.02222
l418,"Tosa Bay, Japan",33.30702,133.485074
l419,"Siboga station, Kei islands, Japan",-5.803333,132.2167
l420,"Goto islands, Japan",32.685974,128.74989
l421,"Sagami bay, Japan",35.259323,139.315943
l422,"Reykjanes Ridge, North Atlantic",62.55196672,-27.08789075
l423,"RRS James Cook JC048/016, Mid-Atlantic ridge",53.99015136,-36.19998927
l424,"RV Akademik Mstislav Keldysh 4th cruise, St. 316-5, Mid-Atlantic ridge",58.75011686,-27.21796977
l425,"Kökö Guyot, Emperor Seamounts, North Pacific",35.6217,171.3167
l426,"Conic island, Hong Kong",22.363645,114.391517
l427,"Steep island cave, Hong Kong",22.275959,114.313674
l428,"Lough Hyne Marine Reserve, South-West Ireland, Atlantic Ocean",51.498056,-9.29871
l429,"Stalemate Bank, Aleutian Islands, Alaska",52.9369,-170.9834
l430,"Oshima island, Japan",31.5225,131.4045
l431,"Puerto Galera, Mindoro, Philippines",13.518273,120.978557
105,Zanzibar,-6.09446701,39.07226501
l432,"Ternate island, Indonesia",0.814256,127.34464
l433,"Chagos Archipelago, Indian Ocean",-6.667754,71.429823
l434,"Pointe Lokombe, Nosy Bé, Madagascar, Indian Ocean",13.42564,48.31328
l435,"Laing Island, Bismarck Sea",-4.173135,144.873364
l436,"Tonga island, Fiji",-16.58684037,179.0139374
l437,"Lifu, Loyalty Islands, New Caledonia",-20.972409,167.220025
l438,"Talili Bay, Papua New Guinea",-4.207003,152.119867
l439,"Klein-kei Nuhu, Red Sea",-5.811155,132.732933
l440,"East Arm, Darwin, North Australia",-12.49333,130.8942
l441,North China Sea,38.541181,119.495896
l442,"Tanguingui Light, North Cebu, Philippines",11.4125,124.1
373,"Koror, Palau",7.3385,134.4659
l443,"Port Essington, Orontes Reef, Australia",-11.06667,132.0917
l444,"Arraial do Cabo, Saco dos Cordeiros, Rio de Janeiro, Brazil",-22.96667,-41.995
l445,"Fish reef, Bynoe Harbour, Australia",-12.43333,130.45
546,"Bundegi Reef, Australia",-21.8449,114.1737
l446,"Honshu Island, Shizouka, Japan",34.66667,138.3333
l447,"Shark Bay, Western Australia",-26.05,113.3833
l448,"Shark Fin Bay, Wedge island, Australia",-35.16667,136.4833
l449,"Thursday island, Torres Strait, Australia",-10.576665,142.222097
l450,"Pulu Bambu, Sulawesi, Indonesia",-0.402365833,121.8432908
l451,"Dampier Archipelago, Australia",-20.663,116.7086
l452,"Larike, Ambon, Banda Sea",-3.75,127.9333
l453,"Simpson island, Exmouth Gulf, Australia",-22.11917,114.4898
511,Taiwan,23.973981,120.979818
l454,"Pulau Lembeh, Sulawesi, Indonesia",1.466667,125.2333
l455,"Sandy Island, Arafura Sea, Australia",-11.09333,132.3167
l456,"Gladstone, Rat Island, Queensland, Australia",-23.76667,151.3167
l457,"Aru islands, Arafura Sea, Indonesia",-6.031257,134.520865
462,"Spermonde Archipelago, Sulawesi",-4.71,118.9806
l458,"East Point, Darwin, North Australia",-12.41167,130.8067
l459,"Okino island, Sea of Japan",34.30833,130.2417
l460,"Hirudo Strait, Japan",35.08333,129.2667
l461,"Coral Bay, Ningaloo, Western Australia",-23.140651,113.751493
l462,"Rowley Shoals, North-Western Australia",-19.32833,119.1633
l463,"Semporna, Sabah, Malaysia",4.381667,118.604
l464,"Muiron Island, Exmouth Gulf, Australia",-21.63217,114.3932
l465,"Arafura Sea, North Australia",-8.53556,136.267533
l466,"New Year Island, Arafura Sea",-10.91328654,133.0334988
l467,"Koror/Babeldaob channel, Palau",7.419167,134.5052
l468,"Port Hedland, Western Australia",-19.515,118.8117
l469,"Seto, Kii Coast, Japan",34.14863879,133.2405393
l470,"Cootamundra Shoals, Australia",-10.85,129.21667
l471,"Farmers Point, Facing island, Queensland, Australia",-23.75,151.3333
l472,"Plater rock, Darwin Harbour, Australia",-12.47683,130.7873
l473,"Gulf of Carpentaria, Australia",-11.25167,140.4233
l474,"Oman, Arabian Sea",20.85,59.16667
l475,"West of South Thailand, Andaman Sea",7.566667,98
l476,"Kenia Coast, Indian Ocean",-2.7,40.88333
l477,"Male Atoll, Maldives",4.55,73.56667
l478,"Durban, Natal, South-Africa ",-29.53333,31.28333
l479,"Imma Island, Maldives",4.316667,73.56667
l480,"Pulau Gomunu, south of Obi, Moluccas, Indonesia",-1.833333,127.5125
l481,"Somalia, Indian Ocean",9.633333,51.03333
l482,"Mozambique coast, Indian Ocean",-24.81667,35.21667
l483,"Gujarat, India",22.525,68.1
n223,"Kavaratti, Lakshadweep, Indian Ocean",10.56277,72.641198
l484,"Agatti island, Laccadives",10.85885,72.195004
l485,"Tanzania, Indian Ocean",-7.087754,39.53506
l486,"Pangavinne Island, Tanzania, Indian Ocean",-6.833333,39.28333
l487,"Mkandya Reef, Tanzania",-6.833332,39.28332
l488,"Heard island, Sub-antarctic",-53.072408,73.469317
l489,"Nouakchott, Mauritania",18.075432,-16.011335
l490,"Ghadior, Dakar, Senegal",14.730868,-17.461848
l491,Patagpnian shelf ,-44.23333,-61.38333
l492,"Cape Arago, Middle Cove, Oregon, USA ",43.30680909,-124.4022556
l493,Senegal Coast,14.581175,-17.202642
